category,log_amount,integer_datetime,addr_la
false,3.52459425980608,1324333779,
true,3.747384183486499,1332292271,
false,2.995732273553991,1334043787,7.456840528477489
false,6.097984390485655,1325214927,13.070173121667425
true,5.125866929549345,1327102559,
true,3.2913825156549485,1328781386,1.5952851989052568
true,3.961955374176355,1334090313,
false,3.4657359027997265,1326973694,11.755271664927077
true,5.94672865326659,1328670044,0.0
false,4.23410650459726,1327150095,1.8212416091707204
true,3.5553480614894135,1330124588,0.0
true,2.822568654544802,1331616591,3.1970907012364256
false,2.995732273553991,1331678677,235.19991479206223
true,5.593595515621446,1331765051,
false,4.328625857946767,1327044052,716.9413209452345
true,5.070412498132116,1330320011,60.96684621332556
false,3.8066624897703196,1326264154,10.806347974234559
false,4.8283137373023015,1330641953,373.75675048176237
true,3.979494720543159,1331074327,3.481833478595159
true,3.4011973816621555,1332106669,
false,1.5686159179138452,1333573350,
true,3.6354786773868213,1333755010,7.254381671230119
false,3.7656089869726097,1325736517,0.0
false,3.5553480614894135,1328090937,23.148179396182226
false,2.6851226964585053,1325294636,
true,4.930725910867953,1328267725,
true,3.921180943212912,1329564491,17.535624774937386
true,3.8809450498572846,1333407619,11.358995635139063
false,4.23410650459726,1327111908,0.0
false,4.0943445622221,1329279646,251.25410881919004
true,4.311604170377335,1333169873,
false,4.489422577443778,1325748664,
true,2.2438960966453663,1330993107,22.821950013869106
true,5.298317366548036,1331337340,121.71916093634816
false,2.302585092994046,1332806002,6.964016389195709
true,5.555437133417177,1333236689,
false,4.002594703612533,1334187337,147.78543375767714
true,2.4458192610799534,1330817264,
false,4.860199926164623,1331547994,
true,4.0943445622221,1325144371,0.0
true,5.091846549521079,1328786636,6.587265621695004
false,4.458756167532555,1329295140,
true,3.9755610262321337,1331154192,
false,4.31748811353631,1333671729,20.768788022358223
false,3.970291913552122,1325541621,
false,3.4855385300959063,1325600108,
false,2.6939512767227085,1329386318,0.0
false,2.4458192610799534,1331945199,93.01003041428491
false,3.984157603187345,1333440316,19.546468165226774
true,4.726148112540994,1325205470,13.011520593867955
true,3.309447523052588,1329878255,0.0
true,5.2516973459128105,1332537097,0.0
true,3.87618855241893,1327810959,5.177235372200516
true,4.146937012341271,1333163219,2.8267535435127638
false,4.442651256490317,1330136233,15.746824275373307
